pw_len,entropy
8,41
9,47
10,53
11,59
12,65
13,71
14,77
15,83
16,89
17,95
18,101
19,107
20,113
21,119
22,125
23,130
24,125
25,131
26,131
27,137
28,143
29,149
30,155
31,161
32,166
33,172
34,172
35,178
36,184
37,190
38,196
39,201
40,207
41,213
42,213
43,219
44,225
45,231
46,237
47,242
48,248
49,254
50,254
51,260
52,266
53,272
54,277
55,283
56,289
57,295
58,295
59,301
60,307
61,313
62,318
63,324
64,330
65,336
66,336
67,342
68,348
69,353
70,359
71,365
72,371
73,377
74,377
75,383
76,388
77,394
78,400
79,406
80,412
81,418
82,418
83,424
84,430
85,435
86,441
87,447
88,453
89,459
90,459
91,465
92,470
93,476
94,482
95,488
96,494
97,500
98,500
99,505
100,511
101,517
102,523
103,529
104,535
